sample_key	GTDB_214	Sample	Resistance gene	Phenotype	source
NA	NA	SAMN39507694	tet(O)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMN39507695	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMN39507695	mef(A)	Erythromycin, Azithromycin	atb
NA	NA	SAMN39507695	tet(M)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMN39507695	tet(L)	Doxycycline, Tetracycline, Doxycycline, Tetracycline, Minocycline, Tigecycline	atb
NA	NA	SAMN39507696	tet(O)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMN39507697	tet(M)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMN39507697	tet(O)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMN39507698	tet(O)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMN39507699	tet(O)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMN39507700	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMN39507700	mef(A)	Erythromycin, Azithromycin	atb
NA	NA	SAMN39507700	tet(O)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMN39507701	tet(O)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMN39507702	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMN39507702	mef(A)	Erythromycin, Azithromycin	atb
NA	NA	SAMN39507702	tet(M)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMN39507702	tet(L)	Doxycycline, Tetracycline, Doxycycline, Tetracycline, Minocycline, Tigecycline	atb
NA	NA	SAMN39507703	tet(O)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMN39507705	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMN39507705	mef(A)	Erythromycin, Azithromycin	atb
NA	NA	SAMN39507705	tet(O)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMN39507706	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMN39507706	mef(A)	Erythromycin, Azithromycin	atb
NA	NA	SAMN39507706	tet(O)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMN39507707	tet(O)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMN39507708	tet(O)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMN39507709	erm(A)	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMN39507709	tet(M)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMN39507710	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMN39507710	mef(A)	Erythromycin, Azithromycin	atb
NA	NA	SAMN39507710	tet(O)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMN39507711	erm(A)	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMN39507711	tet(O)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMN39507712	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMN39507712	mef(A)	Erythromycin, Azithromycin	atb
NA	NA	SAMN39507712	tet(O)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMN39507714	erm(A)	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMN39507714	tet(O)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMN39507715	tet(O)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMN39507716	erm(T)	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMN39507716	tet(M)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMN39507716	tet(L)	Doxycycline, Tetracycline, Minocycline, Tigecycline, Doxycycline, Tetracycline	atb
NA	NA	SAMN39507717	tet(O)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMN39507718	erm(T)	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMN39507718	tet(M)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMN39507718	tet(L)	Doxycycline, Tetracycline, Doxycycline, Tetracycline, Minocycline, Tigecycline	atb
NA	NA	SAMN39507719	tet(O)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMN39507722	tet(O)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMN39507723	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMN39507723	mef(A)	Erythromycin, Azithromycin	atb
NA	NA	SAMN39507723	tet(M)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMN39507723	tet(L)	Doxycycline, Tetracycline, Minocycline, Tigecycline, Doxycycline, Tetracycline	atb
NA	NA	SAMN39507724	tet(O)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMN39507725	tet(O)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMN39507726	erm(A)	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMN39507726	tet(O)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMN39507727	tet(O)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMN39507728	tet(O)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMN39507729	tet(O)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMN39507730	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMN39507730	mef(A)	Erythromycin, Azithromycin	atb
NA	NA	SAMN39507730	tet(M)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMN39507730	tet(L)	Doxycycline, Tetracycline, Minocycline, Tigecycline, Doxycycline, Tetracycline	atb
NA	NA	SAMN42334614	erm(A)	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMN42334614	tet(O)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMN42334615	tet(M)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMN42334616	erm(A)	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMN42334617	tet(M)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMN43302819	tet(M)	Doxycycline, Tetracycline, Minocycline	atb
