sample_key	GTDB_214	Sample	Resistance gene	Phenotype	source
NA	NA	SAMEA114309588	tetA(46)	Doxycycline, Tetracycline, Tigecycline	atb
NA	NA	SAMEA114309588	tetB(46)	Doxycycline, Tetracycline, Tigecycline	atb
NA	NA	SAMEA114313405	tetA(46)	Doxycycline, Tetracycline, Tigecycline	atb
NA	NA	SAMEA114313405	tetB(46)	Doxycycline, Tetracycline, Tigecycline	atb
NA	NA	SAMEA114631783	tetA(46)	Doxycycline, Tetracycline, Tigecycline	atb
NA	NA	SAMEA114631783	tetB(46)	Doxycycline, Tetracycline, Tigecycline	atb
NA	NA	SAMEA115092497	tetA(46)	Doxycycline, Tetracycline, Tigecycline	atb
NA	NA	SAMEA115092497	tetB(46)	Doxycycline, Tetracycline, Tigecycline	atb
NA	NA	SAMEA115092759	lsa(C)	Lincomycin, Clindamycin, Dalfopristin, Pristinamycin IIA, Virginiamycin M, Tiamulin	atb
NA	NA	SAMEA115092759	tetA(46)	Doxycycline, Tetracycline, Tigecycline	atb
NA	NA	SAMEA115092759	tetB(46)	Doxycycline, Tetracycline, Tigecycline	atb
NA	NA	SAMEA2342815	tetA(46)	Doxycycline, Tetracycline, Tigecycline	atb
NA	NA	SAMEA2342815	tetB(46)	Doxycycline, Tetracycline, Tigecycline	atb
NA	NA	SAMEA2393084	tetA(46)	Doxycycline, Tetracycline, Tigecycline	atb
NA	NA	SAMEA2393084	tetB(46)	Doxycycline, Tetracycline, Tigecycline	atb
NA	NA	SAMEA2674797	tetA(46)	Doxycycline, Tetracycline, Tigecycline	atb
NA	NA	SAMEA2674797	tetB(46)	Doxycycline, Tetracycline, Tigecycline	atb
NA	NA	SAMEA3882095	tetA(46)	Doxycycline, Tetracycline, Tigecycline	atb
NA	NA	SAMEA3882095	tetB(46)	Doxycycline, Tetracycline, Tigecycline	atb
NA	NA	SAMEA4362445	tetA(46)	Doxycycline, Tetracycline, Tigecycline	atb
NA	NA	SAMEA4362445	tetB(46)	Doxycycline, Tetracycline, Tigecycline	atb
NA	NA	SAMEA4362453	tetA(46)	Doxycycline, Tetracycline, Tigecycline	atb
NA	NA	SAMEA4362453	tetB(46)	Doxycycline, Tetracycline, Tigecycline	atb
